Seed,Team,Record
1,Indiana Pacers,61-21
2,Minnesota Timberwolves,58-24
3,San Antonio Spurs,57-25
4,Los Angeles Lakers,56-26
5,Sacramento Kings,55-27
6,Detroit Pistons,54-28
7,Dallas Mavericks,52-30
8,Memphis Grizzlies,50-32
9,New Jersey Nets,47-35
10,Houston Rockets,45-37
11,Denver Nuggets,43-39
12,Miami Heat,42-40
13,Utah Jazz,42-40
14,Milwaukee Bucks,41-41
15,New Orleans Hornets,41-41
16,Portland Trail Blazers,41-41
17,New York Knicks,39-43
18,Golden State Warriors,37-45
19,Seattle SuperSonics,37-45
20,Boston Celtics,36-46
21,Cleveland Cavaliers,35-47
22,Philadelphia 76ers,33-49
23,Toronto Raptors,33-49
24,Phoenix Suns,29-53
25,Atlanta Hawks,28-54
26,Los Angeles Clippers,28-54
27,Washington Wizards,25-57
28,Chicago Bulls,23-59
29,Orlando Magic,21-61
