Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Acker\ackeral01,SG,26,TOT,25,199,10.4,.448,.263,.132,4.5,9.6,7.0,10.2,1.3,1.5,8.0,20.1,,-0.1,0.1,0.0,-0.011,,-1.8,-1.7,-3.6,-0.1
1,Alex Acker\ackeral01,SG,26,DET,7,20,16.0,.379,.364,.182,0.0,12.0,5.9,9.1,5.5,3.9,0.0,28.3,,0.0,0.0,0.0,.009,,-0.9,4.7,3.8,0.0
1,Alex Acker\ackeral01,SG,26,LAC,18,179,9.8,.460,.246,.123,5.0,9.3,7.1,10.3,0.9,1.2,9.3,19.2,,-0.1,0.0,0.0,-0.013,,-1.9,-2.5,-4.4,-0.1
2,Hassan Adams\adamsha01,SG,24,TOR,12,52,0.4,.352,.000,.462,2.3,13.4,7.9,2.8,1.0,1.5,20.4,17.4,,-0.2,0.0,-0.2,-0.144,,-7.5,-1.9,-9.4,-0.1
3,Arron Afflalo\afflaar01,SG,23,DET,74,1234,8.9,.548,.357,.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,,0.8,1.0,1.8,.069,,-2.8,0.2,-2.6,-0.2
4,Maurice Ager\agerma01,SG,24,NJN,20,97,2.2,.365,.140,.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,,-0.3,0.0,-0.3,-0.133,,-7.9,-2.8,-10.7,-0.2
5,Blake Ahearn\ahearbl01,PG,24,SAS,3,19,12.9,.581,.667,.333,0.0,6.2,3.1,16.0,2.9,0.0,12.7,20.1,,0.0,0.0,0.1,.149,,-2.2,1.4,-0.9,0.0
6,Alexis Ajinça\ajincal01,PF,20,CHA,31,182,7.0,.430,.029,.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,,-0.3,0.3,-0.1,-0.018,,-7.6,0.1,-7.5,-0.3
7,LaMarcus Aldridge\aldrila01,PF,23,POR,81,3004,19.1,.529,.023,.269,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,,6.1,3.3,9.5,.151,,1.7,-0.4,1.3,2.5
8,Joe Alexander\alexajo01,SF,22,MIL,59,716,10.1,.494,.188,.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,,-0.3,0.7,0.4,.030,,-3.4,-0.1,-3.5,-0.3
9,Malik Allen\allenma01,PF,30,MIL,49,579,7.3,.435,.006,.124,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,,-0.2,0.5,0.3,.024,,-4.2,-0.2,-4.5,-0.4
10,Ray Allen*\allenra02,SG,33,BOS,79,2876,17.3,.624,.467,.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,,7.4,3.7,11.1,.186,,3.7,0.3,4.0,4.3
11,Tony Allen\allento01,SG,27,BOS,46,887,12.9,.541,.095,.384,3.2,10.7,7.1,12.0,3.2,2.1,18.8,21.5,,-0.2,1.8,1.6,.085,,-2.4,2.5,0.1,0.5
12,Morris Almond\almonmo01,SG,23,UTA,25,255,7.3,.498,.210,.321,4.2,12.6,8.4,4.2,0.8,1.2,14.8,19.1,,-0.1,0.2,0.1,.010,,-4.5,-1.8,-6.3,-0.3
13,Rafer Alston\alstora01,PG,32,TOT,77,2447,13.8,.494,.404,.254,1.6,8.8,5.3,27.0,2.3,0.3,13.3,19.9,,1.7,3.7,5.3,.104,,-0.3,1.1,0.8,1.8
13,Rafer Alston\alstora01,PG,32,HOU,48,1591,12.8,.484,.441,.209,1.9,8.4,5.3,25.9,1.9,0.3,13.4,19.2,,0.9,2.1,2.9,.088,,-0.3,0.4,0.2,0.9
13,Rafer Alston\alstora01,PG,32,ORL,29,856,15.6,.509,.339,.332,1.1,9.6,5.5,28.9,3.1,0.3,13.2,21.2,,0.8,1.6,2.4,.135,,-0.3,2.3,2.0,0.9
14,Lou Amundson\amundlo01,PF,26,PHO,76,1044,13.3,.530,.004,.480,14.9,15.3,15.1,3.7,1.5,4.6,15.6,15.1,,0.8,1.0,1.8,.082,,-2.2,-0.3,-2.5,-0.1
15,Chris Andersen\anderch01,C,30,DEN,71,1460,18.1,.608,.034,.620,13.4,21.6,17.6,3.2,1.4,9.3,15.7,13.4,,2.5,2.8,5.4,.176,,-0.3,2.4,2.2,1.5
16,Ryan Anderson\anderry01,PF,20,NJN,66,1312,13.6,.532,.464,.285,9.3,19.0,14.1,6.4,1.8,1.2,12.1,18.6,,1.3,1.2,2.5,.090,,-0.3,-0.9,-1.1,0.3
17,Carmelo Anthony\anthoca01,SF,24,DEN,66,2277,19.0,.532,.141,.388,5.6,17.0,11.5,18.1,1.7,0.8,12.3,31.5,,2.4,2.6,5.0,.105,,1.5,-1.0,0.5,1.5
18,Joel Anthony\anthojo01,C,26,MIA,65,1048,9.3,.521,.000,.390,10.1,12.4,11.2,3.7,1.0,7.2,22.9,8.0,,0.4,1.4,1.7,.079,,-4.5,1.8,-2.7,-0.2
19,Gilbert Arenas\arenagi01,PG,27,WAS,2,63,18.9,.433,.304,.696,1.8,15.3,8.4,47.8,0.0,1.3,3.2,22.4,,0.2,0.0,0.2,.115,,3.0,-2.2,0.8,0.0
20,Trevor Ariza\arizatr01,SF,23,LAL,82,1999,15.5,.544,.320,.284,6.4,13.4,10.0,10.4,3.5,0.9,11.5,16.6,,2.5,3.5,6.1,.146,,0.2,2.2,2.4,2.3
21,Hilton Armstrong\armsthi01,C,24,NOH,70,1092,10.7,.585,.008,.398,9.0,12.6,10.8,4.4,1.3,3.5,21.7,16.3,,0.2,1.3,1.5,.068,,-4.2,0.4,-3.8,-0.5
22,Darrell Arthur\arthuda01,PF,20,MEM,76,1464,11.3,.456,.005,.138,8.9,20.3,14.5,5.0,1.9,2.9,9.2,16.3,,-0.1,1.8,1.7,.055,,-3.5,0.1,-3.4,-0.5
23,Chucky Atkins\atkinch01,PG,34,TOT,33,412,6.2,.408,.504,.142,1.4,5.3,3.4,20.9,1.2,0.4,16.1,15.4,,-0.3,0.2,-0.2,-0.018,,-4.0,-1.3,-5.3,-0.3
23,Chucky Atkins\atkinch01,PG,34,DEN,14,115,8.9,.469,.630,.148,0.0,5.9,3.0,34.9,0.9,0.7,25.8,15.0,,0.0,0.1,0.0,.019,,-1.6,-2.1,-3.6,0.0
23,Chucky Atkins\atkinch01,PG,34,OKC,19,297,5.1,.389,.465,.140,1.9,5.1,3.5,15.5,1.4,0.2,12.5,15.5,,-0.3,0.1,-0.2,-0.032,,-5.0,-1.0,-5.9,-0.3
24,D.J. Augustin\augusdj01,PG,21,CHA,72,1908,14.9,.587,.396,.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,,3.6,1.5,5.1,.128,,1.4,-0.5,0.9,1.4
25,Kelenna Azubuike\azubuke01,SF,25,GSW,74,2375,14.7,.562,.249,.271,5.1,11.8,8.5,7.6,1.2,1.5,9.1,18.7,,3.6,0.5,4.1,.083,,1.0,-1.5,-0.5,0.9
26,Renaldo Balkman\balkmre01,PF,24,DEN,53,780,16.8,.585,.036,.330,13.2,16.9,15.1,6.9,3.1,2.3,13.4,14.9,,1.3,1.3,2.6,.162,,0.2,1.2,1.4,0.7
27,Marcus Banks\banksma01,PG,27,TOT,22,206,7.8,.431,.333,.316,0.6,9.9,5.2,20.6,2.8,0.8,17.7,17.9,,-0.3,0.2,0.0,-0.008,,-5.4,1.3,-4.1,-0.1
27,Marcus Banks\banksma01,PG,27,MIA,16,166,8.7,.461,.359,.385,0.0,10.9,5.4,19.8,3.2,1.0,19.4,16.0,,-0.1,0.2,0.1,.023,,-5.3,2.2,-3.1,0.0
27,Marcus Banks\banksma01,PG,27,TOR,6,40,4.0,.362,.278,.167,3.0,5.8,4.4,24.2,1.3,0.0,13.4,25.7,,-0.1,0.0,-0.1,-0.139,,-5.7,-2.4,-8.1,-0.1
28,Leandro Barbosa\barbole01,SG,26,PHO,70,1705,19.4,.588,.316,.256,2.4,9.7,6.2,14.9,2.4,0.3,9.9,24.2,,4.0,1.0,5.0,.141,,2.4,-0.4,1.9,1.7
29,J.J. Barea\bareajo01,SG,24,DAL,79,1600,13.4,.516,.276,.167,2.6,10.0,6.4,26.4,1.2,0.2,14.9,20.2,,1.2,1.0,2.2,.066,,-0.4,-1.1,-1.5,0.2
30,Andrea Bargnani\bargnan01,PF,23,TOR,78,2453,14.6,.559,.304,.278,3.4,16.4,10.0,6.4,0.7,3.1,11.2,22.7,,1.8,2.0,3.9,.076,,-0.1,-0.7,-0.8,0.7
31,Matt Barnes\barnema02,PF,28,PHO,77,2082,12.6,.537,.506,.202,4.6,18.5,11.8,14.2,1.2,0.9,15.0,18.3,,1.6,1.4,3.0,.069,,0.2,-0.7,-0.4,0.8
32,Brent Barry\barrybr01,SG,37,HOU,56,857,9.2,.575,.762,.116,2.4,10.1,6.4,13.7,1.5,0.3,21.0,12.4,,0.4,1.1,1.5,.082,,-1.2,1.2,0.1,0.5
33,Brandon Bass\bassbr01,C,23,DAL,81,1574,16.4,.571,.012,.413,9.5,17.2,13.4,4.3,0.9,2.6,12.5,20.0,,2.5,1.6,4.1,.124,,-0.7,-0.8,-1.5,0.2
34,Maceo Baston\bastoma01,PF,33,IND,27,217,12.3,.579,.022,.587,11.1,15.4,13.2,4.6,1.4,3.4,17.2,14.0,,0.2,0.2,0.5,.105,,-3.4,0.2,-3.2,-0.1
35,Tony Battie\battito01,PF,32,ORL,77,1202,11.9,.518,.028,.254,8.9,17.0,13.0,4.2,1.1,1.5,11.4,15.6,,0.7,2.1,2.8,.113,,-2.3,0.7,-1.6,0.1
36,Shane Battier\battish01,SG,30,HOU,60,2031,10.7,.568,.669,.189,3.1,12.9,8.2,10.0,1.3,1.9,11.3,9.9,,2.3,2.9,5.2,.123,,0.1,1.9,2.0,2.0
37,Nicolas Batum\batumni01,SF,20,POR,79,1454,12.9,.555,.465,.144,7.0,11.8,9.4,7.8,1.9,2.2,11.5,14.0,,2.1,1.6,3.7,.123,,0.4,1.0,1.4,1.2
38,Jerryd Bayless\bayleje01,PG,20,POR,53,655,8.2,.487,.143,.545,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,,-0.2,0.5,0.3,.019,,-4.3,-0.7,-5.0,-0.5
39,Michael Beasley\beaslmi01,PF,20,MIA,81,2009,17.2,.528,.085,.252,6.5,19.8,13.1,7.7,1.1,1.5,10.2,27.7,,1.2,2.2,3.4,.081,,-0.2,-1.5,-1.7,0.1
40,Marco Belinelli\belinma01,SG,22,GSW,42,882,11.8,.547,.413,.164,1.2,7.5,4.4,15.3,2.0,0.1,14.8,19.3,,0.4,0.1,0.5,.028,,-0.8,-1.4,-2.3,-0.1
41,Charlie Bell\bellch01,SG,29,MIL,70,1783,9.8,.525,.458,.153,2.0,7.1,4.4,13.3,1.5,0.3,12.0,16.0,,0.9,1.2,2.2,.059,,-1.4,-0.3,-1.7,0.2
42,Raja Bell\bellra01,SG,32,TOT,67,2315,10.7,.548,.396,.149,2.2,10.5,6.4,10.1,1.1,0.3,10.6,16.3,,2.0,1.6,3.6,.074,,-0.9,-0.4,-1.3,0.4
42,Raja Bell\bellra01,SG,32,PHO,22,712,8.5,.569,.531,.119,1.4,8.8,5.2,5.5,0.9,0.2,8.8,12.6,,0.7,0.1,0.8,.054,,-0.9,-0.9,-1.9,0.0
42,Raja Bell\bellra01,SG,32,CHA,45,1603,11.7,.541,.349,.160,2.6,11.2,6.9,12.2,1.3,0.3,11.1,18.0,,1.3,1.5,2.8,.083,,-0.9,-0.1,-1.0,0.4
