MVP Rank,Player,MVP Votes Share,Season
1,Nikola Jokić\jokicni01,0.875,2021-22
2,Joel Embiid\embiijo01,0.706,2021-22
3,Giannis Antetokounmpo\antetgi01,0.595,2021-22
4,Devin Booker\bookede01,0.216,2021-22
5,Luka Dončić\doncilu01,0.146,2021-22
6,Jayson Tatum\tatumja01,0.043,2021-22
7,Ja Morant\moranja01,0.010,2021-22
8,Stephen Curry\curryst01,0.004,2021-22
9,Chris Paul\paulch01,0.002,2021-22
10T,DeMar DeRozan\derozde01,0.001,2021-22
10T,Kevin Durant\duranke01,0.001,2021-22
10T,LeBron James\jamesle01,0.001,2021-22
1,Nikola Jokić\jokicni01,0.961,2020-21
2,Joel Embiid\embiijo01,0.580,2020-21
3,Stephen Curry\curryst01,0.449,2020-21
4,Giannis Antetokounmpo\antetgi01,0.345,2020-21
5,Chris Paul\paulch01,0.138,2020-21
6,Luka Dončić\doncilu01,0.042,2020-21
7,Damian Lillard\lillada01,0.038,2020-21
8,Julius Randle\randlju01,0.020,2020-21
9,Derrick Rose\rosede01,0.010,2020-21
10,Rudy Gobert\goberru01,0.008,2020-21
11,Russell Westbrook\westbru01,0.005,2020-21
12,Ben Simmons\simmobe01,0.003,2020-21
13T,James Harden\hardeja01,0.001,2020-21
13T,LeBron James\jamesle01,0.001,2020-21
13T,Kawhi Leonard\leonaka01,0.001,2020-21
1,Giannis Antetokounmpo\antetgi01,0.952,2019-20
2,LeBron James\jamesle01,0.746,2019-20
3,James Harden\hardeja01,0.363,2019-20
4,Luka Dončić\doncilu01,0.198,2019-20
5,Kawhi Leonard\leonaka01,0.166,2019-20
6,Anthony Davis\davisan02,0.081,2019-20
7,Chris Paul\paulch01,0.026,2019-20
8,Damian Lillard\lillada01,0.023,2019-20
9,Nikola Jokić\jokicni01,0.018,2019-20
10,Pascal Siakam\siakapa01,0.017,2019-20
11,Jimmy Butler\butleji01,0.009,2019-20
12,Jayson Tatum\tatumja01,0.001,2019-20
1,Giannis Antetokounmpo\antetgi01,0.932,2018-19
2,James Harden\hardeja01,0.768,2018-19
3,Paul George\georgpa01,0.352,2018-19
4,Nikola Jokić\jokicni01,0.210,2018-19
5,Stephen Curry\curryst01,0.173,2018-19
6,Damian Lillard\lillada01,0.068,2018-19
